subj_idx,task,condition,stimulus,subject_answered,response,rt
s01,audio,control,slow,slow,1.0,1.018
s01,audio,congruent,fast,fast,1.0,1.284
s01,audio,control,fast,slow,0.0,1.005
s01,audio,incongruent,fast,slow,0.0,1.418
s01,audio,congruent,fast,fast,1.0,1.369
s01,audio,control,fast,fast,1.0,1.134
s01,audio,congruent,slow,slow,1.0,1.405
s01,audio,congruent,fast,fast,1.0,0.965
s01,audio,control,slow,slow,1.0,1.141
s01,audio,congruent,fast,fast,1.0,0.938
s01,audio,congruent,fast,slow,0.0,1.008
s01,audio,control,fast,fast,1.0,1.814
s01,audio,congruent,slow,slow,1.0,1.605
s01,audio,incongruent,fast,fast,1.0,0.974
s01,audio,control,slow,slow,1.0,1.103
s01,audio,incongruent,slow,fast,0.0,1.2
s01,audio,congruent,slow,slow,1.0,1.874
s01,audio,incongruent,fast,fast,1.0,1.504
s01,audio,control,fast,fast,1.0,0.801
s01,audio,congruent,slow,fast,0.0,1.401
s01,audio,incongruent,slow,slow,1.0,1.221
s01,audio,control,fast,fast,1.0,0.881
s01,audio,congruent,slow,slow,1.0,1.61
s01,audio,incongruent,fast,fast,1.0,1.893
s01,audio,incongruent,fast,slow,0.0,1.552
s01,audio,control,fast,fast,1.0,1.928
s01,audio,congruent,slow,fast,0.0,0.805
s01,audio,control,slow,slow,1.0,0.905
s01,audio,control,slow,slow,1.0,0.874
s01,audio,control,fast,fast,1.0,0.958
s01,audio,incongruent,slow,slow,1.0,0.829
s01,audio,incongruent,fast,slow,0.0,1.701
s01,audio,incongruent,slow,fast,0.0,0.78
s01,audio,incongruent,fast,fast,1.0,1.297
s01,audio,incongruent,slow,slow,1.0,1.076
s01,audio,incongruent,fast,slow,0.0,1.397
s01,audio,congruent,slow,slow,1.0,0.905
s01,audio,control,fast,fast,1.0,0.834
s01,audio,incongruent,slow,slow,1.0,0.782
s01,audio,congruent,fast,fast,1.0,1.724
s01,audio,incongruent,fast,fast,1.0,0.78
s01,audio,congruent,fast,fast,1.0,0.989
s01,audio,congruent,fast,fast,1.0,0.956
s01,audio,congruent,slow,slow,1.0,1.452
s01,audio,control,fast,fast,1.0,1.901
s01,audio,congruent,fast,fast,1.0,0.737
s01,audio,control,fast,slow,0.0,1.295
s01,audio,control,slow,slow,1.0,1.05
s01,audio,incongruent,fast,fast,1.0,1.382
s01,audio,incongruent,slow,slow,1.0,1.051
s01,audio,control,slow,slow,1.0,0.948
s01,audio,congruent,fast,fast,1.0,0.913
s01,audio,control,fast,fast,1.0,1.669
s01,audio,control,fast,fast,1.0,0.878
s01,audio,incongruent,slow,fast,0.0,1.537
s01,audio,control,fast,fast,1.0,0.764
s01,audio,congruent,slow,slow,1.0,0.88
s01,audio,incongruent,slow,slow,1.0,0.836
s01,audio,congruent,fast,fast,1.0,0.969
s01,audio,congruent,slow,slow,1.0,0.945
s01,audio,incongruent,fast,fast,1.0,1.076
s01,audio,control,slow,slow,1.0,1.12
s01,audio,incongruent,slow,fast,0.0,2.246
s01,audio,control,slow,fast,0.0,0.732
s01,audio,incongruent,fast,slow,0.0,0.924
s01,audio,congruent,fast,fast,1.0,1.325
s01,audio,control,fast,fast,1.0,0.853
s01,audio,incongruent,slow,slow,1.0,0.92
s01,audio,congruent,slow,slow,1.0,0.969
s01,audio,congruent,slow,slow,1.0,0.756
s01,audio,congruent,fast,fast,1.0,1.829
s01,audio,control,fast,fast,1.0,0.822
s01,audio,control,slow,fast,0.0,0.854
s01,audio,congruent,fast,fast,1.0,0.89
s01,audio,incongruent,slow,slow,1.0,0.792
s01,audio,congruent,slow,slow,1.0,0.974
s01,audio,incongruent,slow,slow,1.0,1.414
s01,audio,control,fast,fast,1.0,0.934
s01,audio,congruent,fast,fast,1.0,0.854
s01,audio,congruent,slow,slow,1.0,1.854
s01,audio,incongruent,slow,fast,0.0,1.233
s01,audio,congruent,fast,slow,0.0,0.981
s01,audio,control,slow,slow,1.0,1.285
s01,audio,incongruent,fast,fast,1.0,0.801
s01,audio,control,slow,slow,1.0,1.311
s01,audio,control,fast,fast,1.0,0.997
s01,audio,incongruent,slow,slow,1.0,1.031
s01,audio,incongruent,slow,slow,1.0,1.125
s01,audio,congruent,fast,fast,1.0,1.458
s01,audio,congruent,slow,fast,0.0,0.81
s01,audio,control,fast,slow,0.0,1.626
s01,audio,control,fast,fast,1.0,1.19
s01,audio,incongruent,fast,fast,1.0,0.917
s01,audio,congruent,slow,slow,1.0,1.318
s01,audio,control,slow,slow,1.0,1.317
s01,audio,congruent,slow,slow,1.0,1.009
s01,audio,control,fast,fast,1.0,1.018
s01,audio,congruent,slow,slow,1.0,1.081
s01,audio,control,fast,fast,1.0,0.938
s01,audio,incongruent,fast,fast,1.0,1.145
s01,audio,control,fast,fast,1.0,1.041
s01,audio,incongruent,fast,fast,1.0,0.929
s01,audio,incongruent,slow,slow,1.0,1.098
s01,audio,congruent,fast,fast,1.0,1.142
s01,audio,incongruent,fast,slow,0.0,1.801
s01,audio,incongruent,fast,slow,0.0,1.015
s01,audio,congruent,slow,slow,1.0,1.217
s01,audio,control,fast,fast,1.0,0.794
s01,audio,incongruent,fast,fast,1.0,1.097
s01,audio,incongruent,fast,fast,1.0,1.17
s01,audio,control,fast,fast,1.0,1.002
s01,audio,congruent,fast,fast,1.0,0.934
s01,audio,control,slow,slow,1.0,1.033
s01,audio,congruent,slow,slow,1.0,1.214
s01,audio,incongruent,fast,fast,1.0,0.874
s01,audio,control,fast,slow,0.0,0.961
s01,audio,congruent,slow,slow,1.0,2.401
s01,audio,control,fast,fast,1.0,1.024
s01,audio,congruent,slow,slow,1.0,1.513
s01,audio,control,slow,slow,1.0,1.662
s01,audio,incongruent,fast,fast,1.0,0.884
s01,audio,incongruent,slow,slow,1.0,1.369
s01,audio,control,fast,fast,1.0,0.858
s01,audio,incongruent,slow,slow,1.0,1.729
s01,audio,control,fast,fast,1.0,0.973
s01,audio,incongruent,fast,fast,1.0,1.218
s01,audio,incongruent,slow,slow,1.0,1.838
s01,audio,incongruent,fast,fast,1.0,0.781
s01,audio,congruent,fast,slow,0.0,1.128
s01,audio,control,slow,slow,1.0,1.746
s01,audio,congruent,fast,fast,1.0,0.865
s01,audio,control,slow,fast,0.0,1.509
s01,audio,control,fast,fast,1.0,0.921
s01,audio,congruent,slow,slow,1.0,1.776
s01,audio,congruent,fast,fast,1.0,1.072
s01,audio,incongruent,fast,fast,1.0,1.106
s01,audio,incongruent,slow,fast,0.0,1.351
s01,audio,incongruent,fast,fast,1.0,1.041
s01,audio,congruent,slow,slow,1.0,1.658
s01,audio,congruent,fast,fast,1.0,0.909
s01,audio,congruent,fast,fast,1.0,1.056
s01,audio,incongruent,fast,fast,1.0,1.733
s01,audio,control,fast,slow,0.0,0.789
s01,audio,control,fast,fast,1.0,1.321
s01,audio,control,fast,slow,0.0,1.046
s01,audio,congruent,fast,fast,1.0,0.766
s01,audio,congruent,slow,slow,1.0,1.233
s01,audio,incongruent,fast,fast,1.0,0.885
s01,audio,incongruent,fast,fast,1.0,1.148
s01,audio,control,fast,fast,1.0,0.72
s01,audio,incongruent,slow,slow,1.0,1.133
s01,audio,control,fast,fast,1.0,1.453
s01,audio,congruent,slow,slow,1.0,1.32
s01,audio,incongruent,slow,slow,1.0,1.177
s01,audio,congruent,fast,fast,1.0,0.965
s01,audio,control,fast,slow,0.0,1.155
s01,audio,incongruent,slow,slow,1.0,1.189
s01,audio,incongruent,fast,fast,1.0,1.133
s01,audio,control,slow,slow,1.0,1.768
s01,audio,incongruent,fast,fast,1.0,0.867
s01,audio,congruent,slow,slow,1.0,1.898
s01,audio,incongruent,fast,fast,1.0,0.915
s01,audio,congruent,fast,fast,1.0,1.531
s01,audio,incongruent,slow,fast,0.0,0.728
s01,audio,control,fast,fast,1.0,0.913
s01,audio,congruent,fast,fast,1.0,0.88
s01,audio,control,fast,fast,1.0,1.4
s01,audio,congruent,slow,slow,1.0,1.187
s01,audio,control,slow,slow,1.0,1.044
s01,audio,incongruent,fast,fast,1.0,0.804
s01,audio,incongruent,slow,fast,0.0,1.057
s01,audio,congruent,fast,fast,1.0,1.336
s01,audio,congruent,fast,fast,1.0,0.828
s01,audio,incongruent,slow,slow,1.0,1.515
s01,audio,control,fast,fast,1.0,0.881
s01,audio,congruent,slow,slow,1.0,1.137
s01,audio,congruent,fast,fast,1.0,1.109
s01,audio,incongruent,slow,slow,1.0,1.656
s01,audio,incongruent,fast,fast,1.0,1.048
s01,audio,incongruent,slow,slow,1.0,1.624
s01,audio,congruent,fast,slow,0.0,1.503
s01,audio,congruent,fast,fast,1.0,0.812
s01,audio,incongruent,slow,slow,1.0,1.044
s01,audio,incongruent,fast,fast,1.0,0.848
s01,audio,control,slow,slow,1.0,1.092
s01,audio,control,slow,slow,1.0,1.432
s01,audio,control,fast,fast,1.0,1.348
s01,audio,congruent,fast,fast,1.0,0.745
s01,audio,control,fast,fast,1.0,1.24
s01,audio,congruent,slow,slow,1.0,1.107
s01,audio,incongruent,slow,slow,1.0,0.904
s01,audio,control,fast,fast,1.0,0.796
s01,audio,control,slow,slow,1.0,1.136
s01,audio,control,fast,fast,1.0,0.871
s01,audio,congruent,slow,slow,1.0,1.504
s01,audio,congruent,fast,fast,1.0,0.784
s01,audio,incongruent,fast,slow,0.0,1.649
s01,audio,control,slow,slow,1.0,1.02
s01,audio,congruent,fast,fast,1.0,0.975
s01,audio,congruent,fast,fast,1.0,1.556
s01,audio,congruent,fast,fast,1.0,1.043
s01,audio,control,slow,fast,0.0,1.051
s01,audio,control,slow,slow,1.0,1.195
s01,audio,congruent,slow,slow,1.0,1.004
