subj_idx,task,condition,stimulus,answered,correct,rt,response
S00,audio,incongruent,fast,fast,1,0.781,1
S00,audio,congruent,fast,slow,0,1.128,0
S00,audio,control,slow,slow,1,1.746,0
S00,audio,congruent,fast,fast,1,0.865,1
S00,audio,control,slow,fast,0,1.509,1
S00,audio,control,fast,fast,1,0.921,1
S00,audio,congruent,slow,slow,1,1.776,0
S00,audio,congruent,fast,fast,1,1.072,1
S00,audio,incongruent,fast,fast,1,1.106,1
S00,audio,incongruent,slow,fast,0,1.351,1
S00,audio,incongruent,fast,fast,1,1.041,1
S00,audio,congruent,slow,slow,1,1.658,0
S00,audio,congruent,fast,fast,1,0.909,1
S00,audio,congruent,fast,fast,1,1.056,1
S00,audio,incongruent,fast,fast,1,1.733,1
S00,audio,control,fast,slow,0,0.789,0
S00,audio,control,fast,fast,1,1.321,1
S00,audio,control,fast,slow,0,1.046,0
S00,audio,congruent,fast,fast,1,0.766,1
S00,audio,congruent,slow,slow,1,1.233,0
S00,audio,incongruent,fast,fast,1,0.885,1
S00,audio,incongruent,fast,fast,1,1.148,1
S00,audio,control,fast,fast,1,0.72,1
S00,audio,incongruent,slow,slow,1,1.133,0
S00,audio,control,fast,fast,1,1.453,1
S00,audio,congruent,slow,slow,1,1.32,0
S00,audio,incongruent,slow,slow,1,1.177,0
S00,audio,congruent,fast,fast,1,0.965,1
S00,audio,control,fast,slow,0,1.155,0
S00,audio,incongruent,slow,slow,1,1.189,0
S00,audio,incongruent,fast,fast,1,1.133,1
S00,audio,control,slow,slow,1,1.768,0
S00,audio,incongruent,fast,fast,1,0.867,1
S00,audio,congruent,slow,slow,1,1.898,0
S00,audio,incongruent,fast,fast,1,0.915,1
S00,audio,congruent,fast,fast,1,1.531,1
S00,audio,incongruent,slow,fast,0,0.728,1
S00,audio,control,fast,fast,1,0.913,1
S00,audio,congruent,fast,fast,1,0.88,1
S00,audio,control,fast,fast,1,1.4,1
S00,audio,congruent,slow,slow,1,1.187,0
S00,audio,control,slow,slow,1,1.044,0
S00,audio,incongruent,fast,fast,1,0.804,1
S00,audio,incongruent,slow,fast,0,1.057,1
S00,audio,congruent,fast,fast,1,1.336,1
S00,audio,congruent,fast,fast,1,0.828,1
S00,audio,incongruent,slow,slow,1,1.515,0
S00,audio,control,fast,fast,1,0.881,1
S00,audio,congruent,slow,slow,1,1.137,0
S00,audio,congruent,fast,fast,1,1.109,1
S00,audio,incongruent,slow,slow,1,1.656,0
S00,audio,incongruent,fast,fast,1,1.048,1
S00,audio,incongruent,slow,slow,1,1.624,0
S00,audio,congruent,fast,slow,0,1.503,0
S00,audio,congruent,fast,fast,1,0.812,1
S00,audio,incongruent,slow,slow,1,1.044,0
S00,audio,incongruent,fast,fast,1,0.848,1
S00,audio,control,slow,slow,1,1.092,0
S00,audio,control,slow,slow,1,1.432,0
S00,audio,control,fast,fast,1,1.348,1
S00,audio,congruent,fast,fast,1,0.745,1
S00,audio,control,fast,fast,1,1.24,1
S00,audio,congruent,slow,slow,1,1.107,0
S00,audio,incongruent,slow,slow,1,0.904,0
S00,audio,control,fast,fast,1,0.796,1
S00,audio,control,slow,slow,1,1.136,0
S00,audio,control,fast,fast,1,0.871,1
S00,audio,congruent,slow,slow,1,1.504,0
S00,audio,congruent,fast,fast,1,0.784,1
S00,audio,incongruent,fast,slow,0,1.649,0
S00,audio,control,slow,slow,1,1.02,0
S00,audio,congruent,fast,fast,1,0.975,1
S00,audio,congruent,fast,fast,1,1.556,1
S00,audio,congruent,fast,fast,1,1.043,1
